title,clickbait
Australian rules football: Warragul to play 2010 Gippsland Football League Grand Final,0
UN calls for action against Sri Lanka,0
US Senator Ted Kennedy in 'fortunate' condition after assassination,0
New Zealand opposition group backs same-sex marriage legislation,0
G.M. Said to Be Ready to Sell Bonds,0
"In an Uncertain Season, G.M. Pays to Cut Its Executive Executive",0
"With a New Start, Alex Rodriguez Wins His Third R.F.A. Title",0
South Africa prepares for presidential debate,0
N.B.A.A.A. May Consider Players More Likely to Lose,0
A New Round of New York Jetseseseseseses Takes Pitches,0
"After a G.M.F. Ban, One Woman Surrenders",0
"In New York, a New Haven for Big News",0
"The Last Round, a Sorting Hat Trick to  the Present Day",0
New Zealand Labour Party announces new budget,0
"As Some Members of Obama Seize, Some Seize Millions",0
Former South Korean leader Lech Waite dies at 89,0
New Zealand's top lawyer wins trial,0
Two trains collide in Pakistan; one dead,0
U.S. Secretary of State Hillary Clinton to announce deal with Iran,0
New York Times reporter fired for revealing classified information,0
"In a Stunning Record Book, a Rarely Await the Times",0
Obama Urges Congress to Study Military Spending,0
Two new species of dolphin found in Brazil,0
"A Rare but Difficult Time to Remember: ""I Need You""",0
A World Champion Trainer for U.S. Open,0
"With Bigger Audience, Knicks Play Without the Focus",0
G.M. Raises $3 Million in Stock-Fought Funds,0
American actress Anne Moss dies at age 69,0
A $10 Million settlement over 2006 school shooting in California,0
No. 6 Duke Upsets Maryland for Fourth Straight Loss,0
China announces $2.4 billion stimulus package,0
Chinese president visits Kyoto,0
G.M. Gives 3 Smaller Firms More Than a Billion,0
"Man charged with stealing toilet, urinal parts",0
Bomb blast near San Francisco office injures 24,0
Russian government considers selling helicopters to Ukraine,0
"In Italy, a Fresh Start to Give a Lift",0
"Man charged with murder, armed robbery",0
New Zealand prepares for financial crisis,0
"Two people die in double bus crash in South Manchester, England",0
UN releases aid to Gaza Strip,0
Australian rules football: West Gippsland Latrobe Football League round 18 - Traralgon v West Gippsland,0
US unemployment rate rises to 8.9 percent,0
Canada prepares to fight AIDS outbreak,0
Wikinews interviews US VP candidate Kevin Johnson on his upcoming 'Mega Millions' presidential campaign,0
California state Senate Approves Bill on Health Care,0
'Scandal' comes out: BBC criticises media coverage in Iran,0
"Wikinews interviews Peter C. White, founder of the New Zealand Rugby League",0
"Gunman kills two, injures two in Afghanistan",0
U.S. Senator George Bush to visit India amid protests,0
"In England, an Islamic Lawyer Lamented in a Daily News article",0
Obama Toughens Rules on Cigarettes,0
U.S. warns of possible nuclear war with Iran,0
Obama announces $349 million stimulus package to tackle climate crisis,0
Nauru passes away,0
South Africa to suspend emissions,0
Chinese Officials Say U.S. Will Pullout Terror of Iran,0
At least fourteen dead as suicide bomber strikes Pakistan,0
Thai Republic of Thailand threatens to jail for failure to address opposition,0
"A.I.G. to cut 10,000 jobs",0
The New York Times interviews Jeremy Schuster,0
Apple releases iPhone SDK,0
UK general election director Nigel Farage banned from politics,0
"Wikinews interviews Gene Amondson, founder of the Wikimedia Foundation",0
Pakistanis begin strike after government fails to stop power sharing with Iran,0
California Department to delay death penalty for 'partial birth' birth,0
N.B.A.A. Players Give Up a Fourth Chance in a Row,0
Italian football team arrives to sign off Brazilian football team,0
"Wikinews previews a new Podcast, a continuing expansion of the format",0
U.S. Senator Ted Kennedy announces exit from Republican Party,0
U.S. House votes to eliminate the Patriot Act,0
Canadian Liberal premier to step down,0
New York Times reporter freed by court,0
"With Tough Pitches, Devils Take On a 3-2 Finish",0
'G.M. to Cut $2.4 Billion' says Japanese researchers,0
Australian TV networks hit by digital music companies,0
Man kills dog at the park near Vancouver,0
UK study says genetic link to peanut allergies caused by genes,0
U.S. Men's Figure Skating Championships in Canada drop,0
US unemployment rate reaches 9 percent,0
British Airways jet crashes in Nigeria,0
U.S. economy growth grows at fastest pace of growth in decades,0
CanadaVOTES: CHP candidate Tom McFly in Hamilton—Simcoe,0
'Suspicious' says FBI officer,0
European Parliament agrees to reduce air traffic controllers,0
Former US Senator Ted Kennedy speaks about child abuse,0
Gunman kills ten in Baghdad,0
"'Invitational Games for the Deaf, Taipei 2008' comes to an close",0
The Struggle and the Tragedy of a Lost Village,0
Bombings in Pakistan kill at least fourteen,0
One person confirmed dead after car accident in Afghanistan,0
Apple announces iPhone 2 with support for iPhone,0
"Former head of British Channel Yorkshire, Sir Norman Wisdom dies at age 44",0
British student becomes world's oldest man,0
U.S. military deaths from Afghanistan reach 327,0
U.S. Supreme Court rules against Google in lawsuits against Yahoo and Google,0
'Giant Brother' warns about 'terrible recession',0
"Two dead, one seriously injured in landslide in Ecuador",0
The News Web: A Stampede May Have Fallen,0
"The Week of September 14, 2009",0
"After Picking a Closer for a Pinch, Woods Scores a Victory",0
New York Times reporter fired for rape allegations,0
"U.S. Sees Weak, Weak Jobs",0
At least ten dead after car accident in Mexico,0
A Rare New Year: Mets and Redding Top Sellers,0
A Smaller Board Finds a Way to Help Find an iPod,0
Australian rules football: Melbourne through to 2010 Gippsland Football League Grand Final,0
European Union plans to reduce fuel subsidies,0
Australian Premier announces new Climate Change policy,0
"China raises ban on Internet access on ""The Sims""",0
U.S. President George Bush to announce troop reductions,0
"In an Unusual World, a Gift of the Yankee Stadium",0
"Two trains collide near Brussels, Belgium",0
US government stops Haiti evacuations,0
"After a First Day of Traveling, a Breakback From My Experience",0
European Court Approaches Antitrust Suit Against Executives,0
"British Airways Posts Loss, and  Its Chief Spokes About Loss",0
Bomb Kills 4 at U.S. Embassy in Pakistan,0
"No survivors after air crash in Buffalo, New York",0
One dead in Afghanistan after suicide bomb blast,0
U.S. Deficit Is Grossest since 1974,0
French tourist yacht sinks in southern Africa,0
Australian rules football: 2010 Gippsland Football League Grand Final - Traralgon v Traralgon,0
Australian Police warn of possible bodies from burqa,0
"Two injured after car crash in Bath, England",0
Russian President visits London; meeting with Australian opposition group alleges unfair treatment in schools and offices,0
"U.N. reports exaggerate human rights abuses, exaggerate exaggerates potentials",0
US Supreme Court rules against offshore drilling,0
"New York Times reporter found ""not guilty"" in New York Times cover",0
Wikinews interviews U.S. presidential candidate Cindy Klumich,0
"A Small Step for Financial Reform, by a Smaller Wall St.",0
New York Times reporter Amy Corby dies at age 60,0
Russian plane crashes in Alaska,0
UK study shows women's perception of smell leads to men's perception,0
"For the First Time, a Family of 2-D-9/11 Kids in a Close Home",0
"After the Bank of America releases bailout plan, a federal response",0
Obama Reaches Out to Banks in a Budget,0
"Bombings in Cairo, Egypt, kill dozens",0
Bush Is Said to Want to Be Killed in Iraq,0
"With Some Business Travelers Freed, It Can Be a Win for the Economy",0
New Zealanders 'go hang' after falling asleep in car accidents,0
Australian rules football: West Gippsland Latrobe Football League finals final,0
Obama Has Lowest Budget since January,0
Aiding Businesses Lament the Recession of Industrial Wages,0
A Bigger Audience in a Screen,0
Bush to meet with President of Mexico,0
British Airways announces merger of British Airways,0
Flemish Footballers call on manager of Flemish bank to resign,0
U.S. Looks to Expand Energy Use,0
Former Australian politician Alan Johnston to resign after remarks on child,0
"One dead, eighteen injured after torrential rains in Greece",0
New York Times reports exaggerates health care costs,0
U.S. prepares for arrival of Hurricane Felix in Honduras,0
French tourists walk off Polish tourist bus,0
Australian rules football: 2010 Gippsland Football League Grand Final,0
"As a New Jersey teacher's lead on teacher strike continues, contract of teachers fired",0
"New York Times reporter killed while covering ""Truth Today""",0
"A Call for Help in Lending, and a Helpful One to It",0
British Airways issues all-airline cabin crew report,0
New Year cards worth $13.5 million each month claimed,0
F.D.A. Approves Digital Health Records,0
Canadian teen admits to urinal urinal urinal urinal urinal urinal urinal parts,0
French journalist Anne Monstillion dies at 89,0
China Announces the Workout Plan,0
A Smaller Recovery on the Green River,0
Obama Seeks More of Health Care,0
Chinese Officials Find Hurdles for Beijing Olympic Winter Olympics,0
"French police arrest two suspected terrorists on suspicion of terrorism, suspicion of terrorist threat",0
Australian rules football: 2010 Gippsland Football League round one - Traralgon v Traralgon,0
U.S. Army to receive Guantanamo relief,0
American swimmer Tony Pelfrey dies at age 79,0
British actor Sir Norman Wisdom dies aged 61,0
"A Day of Work, With His Pitches",0
American actor Peter McGoohan dies age 87,0
Former US VP Gore campaign staffer charged with conspiracy,0
"In Europe, Iceland and Wales, a Stereotypically Cozy Night",0
Obama to Give Stimulus Money for Health Care,0
Thai politician's car stolen,0
Fannie and Freddie Offer an Unusual Speech,0
"In Europe, a Triage to Ease Credit Crisis",0
U.S. Supreme Court rules against compulsory student unions,0
US stocks fall 0.4% in November,0
"For Some, a Battle Is Not a Just Start",0
China to reward Google for posting articles on its servers,0
'Outraged' becomes 'TVNZ' Channel 4's most watched ever,0
Obama to end troop reductions in Afghanistan,0
UK opposition group backs increased fuel supplies,0
U.S. Officials to Meet in Iran With Pakistan,0
"As Others Figure Out a Shift in Climate, They Can't Identify It",0
A $60 Billion Deal to Sell Stake in A Carlyle,0
UK man arrested after buying prescription drugs,0
"With Littleer Focus, the Knicks Finally Reach the Bigger",0
UK Chancellor announces cuts in pension andnaments,0
